0,1,2,3,4,5,6,7,8,9,10
ราคาน้ำมันวันที่ 19/05/2020,,,,,,,,,,
"Reported by Petroleum Division, EPPO",,,,,,,,,,
รายงานโดยส่วนปิโตรเลียม สนพ.,,,,,,,,,,
Tel 0-2612-1555 ext 567,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
ราคาขายปลีกมาตรฐาน ในเขต กทม. นนทบุรี,,,,,,,,,,
ปทุมธานี และสมุทรปราการ,,,,,,,,,,
หน่วย : บาท/ลิตร,,,,,,,,,,
Retail Prices in Bangkok & Vicinities,ปตท,บางจาก,เชลล์,เอสโซ่,เชฟรอน,ไออาร์พีซี,พีทีจี ,,เพียว,ซัสโก้ ดีลเลอร์
Unit : Baht/Litre,PTT,BCP,Shell,Esso,Chevron,IRPC,เอ็นเนอยี,Susco,Pure,SUSCO
,,,,,,,PT,,, Dealers
แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),19.75,19.75,20.25,19.75,19.75,19.75,19.75,19.75,19.75,19.75
แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E20),18.24,18.24,18.74,18.24,18.24,0,18.24,18.24,18.24,18.24
แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E85),16.69,16.69,0,0,0,0,0,16.69,0,0
แก๊สโซฮอล ออกเทน 91 (Gasohol 91-E10),19.48,19.48,19.98,19.48,19.48,19.48,19.48,19.48,19.48,19.48
แก๊สโซฮอล ออกเทน 95 พรีเมียม,0,0,0,0,0,0,0,0,0,0
เบนซิน ออกเทน 95 (ULG 95 RON),27.16,0,0,0,27.61,0,27.66,27.16,0,27.16
เบนซิน ออกเทน 95 พรีเมียม,0,0,0,0,0,0,0,0,0,0
ดีเซลหมุนเร็ว HSD B7,19.29,19.29,19.79,19.29,19.29,19.29,19.29,19.29,19.29,19.29
ดีเซลหมุนเร็ว HSD B10,16.29,16.29,16.79,16.29,16.29,16.29,16.29,16.29,16.29,16.29
ดีเซลหมุนเร็ว HSD B20,16.04,16.04,16.54,16.04,16.04,0,16.04,16.04,0,16.04
ดีเซลหมุนเร็ว พรีเมียม,23.14,23.16,25.64,25.14,25.14,0,0,0,0,0
มีผลตั้งแต่ (Effective Date),19 May 05:00,19 May 05:00,19 May 05:00,19 May 05:00,19 May 05:00,19 May 05:00,19 May 05:00,19 May 05:00,19 May 05:00,19 May 05:00
 ,,,,,,,,,,
                 ,,,,,,,,,,
"หมายเหตุ :   1/    ราคาน้ำมันเบนซินออกเทน 95 ที่เป็นราคาขายของบริษัทฯ ณ กทม., นนทบุรี, ปทุมธานีและสมุทรปราการ ราคาจะเท่ากับ ",,,,,,,49.6,บาท/ลิตร,,
                     ทั้งนี้ ในเขตอื่นนอกเหนือจากที่แจ้ง จะเป็นราคามาตรฐานที่ประกาศในตารางข้างต้น เป็นราคาเริ่มต้นในการคำนวณค่าความต่าง ที่แตกต่างกันไป,,,,,,,,,,
                2/    ราคาน้ำมันเบนซินออกเทน 95 ที่เป็นราคาขายของบริษัทฯ ณ กทม.และ สมุทรปราการ ราคาจะเท่ากับ 26.59 บาท/ลิตร,,,,,,,,,,
                     ทั้งนี้ ในเขตอื่นนอกเหนือจากที่แจ้ง จะเป็นราคามาตรฐานที่ประกาศในตารางข้างต้น เป็นราคาเริ่มต้นในการคำนวณค่าความต่าง ที่แตกต่างกันไป,,,,,,,,,,
