0,1,2,3,4,5,6,7,8,9,10
ราคาน้ำมันวันที่ 10/09/2021,,,,,,,,,,
"Reported by Petroleum Division, EPPO",,,,,,,,,,
รายงานโดยส่วนปิโตรเลียม สนพ.,,,,,,,,,,
Tel 0-2612-1555 ext 567,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
ราคาขายปลีกมาตรฐาน ในเขต กทม. นนทบุรี,,,,,,,,,,
ปทุมธานี และสมุทรปราการ,,,,,,,,,,
หน่วย : บาท/ลิตร,,,,,,,,,,
Retail Prices in Bangkok & Vicinities,ปตท,บางจาก,เชลล์,เอสโซ่,เชฟรอน,ไออาร์พีซี,พีทีจี ,,เพียว,ซัสโก้ ดีลเลอร์
Unit : Baht/Litre,PTT,BCP,Shell,Esso,Chevron,IRPC,เอ็นเนอยี,Susco,Pure,SUSCO
,,,,,,,PT,,, Dealers
แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),29.25,29.25,29.25,29.25,29.25,29.25,29.25,29.25,29.25,29.25
แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E20),27.74,27.74,27.74,27.74,27.74,0,27.74,27.74,27.74,27.74
แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E85),22.44,22.44,0,0,0,0,0,0,0,0
แก๊สโซฮอล ออกเทน 91 (Gasohol 91-E10),28.98,28.98,28.98,28.98,28.98,28.98,28.98,28.98,28.98,28.98
แก๊สโซฮอล ออกเทน 95 พรีเมียม,0,0,0,0,0,0,0,0,0,0
เบนซิน ออกเทน 95 (ULG 95 RON),36.66,0,0,0,37.11,0,37.16,36.66,0,36.66
เบนซิน ออกเทน 95 พรีเมียม,0,0,0,0,0,0,0,0,0,0
ดีเซลหมุนเร็ว HSD B7,29.09,29.09,29.09,29.09,29.09,29.09,29.09,29.09,29.09,29.09
ดีเซลหมุนเร็ว HSD B10,26.09,26.09,26.09,26.09,26.09,26.09,26.09,26.09,26.09,26.09
ดีเซลหมุนเร็ว HSD B20,25.84,25.84,26.04,0,25.84,0,25.84,25.84,0,25.84
ดีเซลหมุนเร็ว พรีเมียม,33.86,33.86,35.54,35.26,35.54,0,0,0,0,0
มีผลตั้งแต่ (Effective Date),04 Sep 05:00,04 Sep 05:00,07 Sep 05:00,04 Sep 05:00,04 Sep 05:00,04 Sep 05:00,04 Sep 05:00,04 Sep 05:00,04 Sep 05:00,04 Sep 05:00
 ,,,,,,,,,,
                 ,,,,,,,,,,
"หมายเหตุ :   1/    ราคาน้ำมันเบนซินออกเทน 95 ที่เป็นราคาขายของบริษัทฯ ณ กทม., นนทบุรี, ปทุมธานีและสมุทรปราการ ราคาจะเท่ากับ ",,,,,,,49.6,บาท/ลิตร,,
                     ทั้งนี้ ในเขตอื่นนอกเหนือจากที่แจ้ง จะเป็นราคามาตรฐานที่ประกาศในตารางข้างต้น เป็นราคาเริ่มต้นในการคำนวณค่าความต่าง ที่แตกต่างกันไป,,,,,,,,,,
                2/    ราคาน้ำมันเบนซินออกเทน 95 ที่เป็นราคาขายของบริษัทฯ ณ กทม.และ สมุทรปราการ ราคาจะเท่ากับ 26.59 บาท/ลิตร,,,,,,,,,,
                     ทั้งนี้ ในเขตอื่นนอกเหนือจากที่แจ้ง จะเป็นราคามาตรฐานที่ประกาศในตารางข้างต้น เป็นราคาเริ่มต้นในการคำนวณค่าความต่าง ที่แตกต่างกันไป,,,,,,,,,,
